UserID,Category,Scenario,Filename,DL_Mbps,Lat_ms,BEP,tau_DL,tau_Lat,tau_BEP,I_Lat,QoE_CAC
1,Download,Driving,B_2019.12.14_10.16.30.csv,10.2077075812274,111.974025974026,0.0422024570858129,0.0749629929052312,0.536705399863295,0.0844048958597237,0.986373804081932,0.0519093537295264
2,Download,Driving,B_2019.12.16_07.22.43.csv,24.5162352703793,90.2611111111111,0.0406545826510956,0.185453554211423,0.422426900584795,0.0813091469283741,0.990283393144323,0.1606384538402
3,Download,Driving,B_2019.12.16_11.49.59.csv,7.20124685138539,124.142857142857,0.001,0.0517470799334779,0.600751879699248,0.0019999800399996,0.983798686818616,0.0336586956588823
4,Download,Driving,B_2019.12.16_12.27.05.csv,25.785519654088,94.0860215053764,0.0670561317895149,0.195254978023846,0.442558007923033,0.134112246261275,0.989652717701918,0.153851380611374
5,Download,Driving,B_2019.12.16_14.23.32.csv,60.2421787280702,85.2692307692308,0.0809765825622234,0.461329565467723,0.396153846153846,0.16195314836351,0.991072152408691,0.381104341299414
6,Download,Driving,B_2019.12.17_07.32.39.csv,26.2847014119601,91.4754098360656,0.0388367155636031,0.19910966341282,0.428817946505608,0.0776734126806745,0.990085692774906,0.171233851010963
7,Download,Driving,B_2020.01.16_07.26.43.csv,9.70176507936508,78.3825503355705,0.0563852357065009,0.0710561009989581,0.359908159660897,0.112770453668411,0.992099536288684,0.065874550478518
8,Download,Driving,B_2020.01.16_09.56.56.csv,41.1771437869822,77.8549618320611,0.0744942582672771,0.314109218432295,0.357131378063479,0.148988499514324,0.992175449287695,0.280528083211846
9,Download,Driving,B_2020.01.16_12.10.03.csv,127.417799450549,66.3928571428571,0.0555702218597067,0.98006022741737,0.296804511278195,0.111140425942222,0.993732135956777,1
10,Download,Driving,B_2020.02.13_13.03.24.csv,7.32210181975737,90.0659340659341,0.0503224266265706,0.0526803229324893,0.4213996529786,0.100644835266038,0.990314953943796,0.0447503416890218
11,Download,Driving,B_2020.02.13_15.02.01.csv,44.826239039666,87.3911111111111,0.104533400039218,0.342287560151861,0.407321637426901,0.209066784259772,0.990741529457502,0.261931666961978
12,Download,Driving,B_2020.02.14_07.29.00.csv,30.5585057416268,82.679012345679,0.0553546315426813,0.232112013448856,0.382521117608837,0.110709245299547,0.991466644260936,0.208066187738024
13,Download,Driving,B_2020.02.14_09.38.22.csv,32.6906902377972,77.6016260162602,0.0551762954234734,0.248576758593029,0.355798031664527,0.110352573053998,0.992211762979253,0.232561863850021
14,Download,Driving,B_2020.02.14_12.58.17.csv,4.64519782608696,138.741935483871,0.0917868791734021,0.0320092496222931,0.677589134125637,0.183573742018279,0.98028770107534,0.0137543519088148
15,Download,Driving,B_2020.02.27_17.30.15.csv,2.98030476190476,147.050847457627,0.134645578795664,0.0191529325243611,0.721320249776985,0.269291142977151,0.978061363423947,0.00636682726085417
16,Download,Driving,B_2020.02.27_20.35.57.csv,25.399644047619,158.086206896552,0.0994756205269766,0.192275243610958,0.77940108892922,0.198951225032978,0.974821654848833,0.055465597982979
17,Download,Static,B_2019.12.16_13.40.04.csv,53.3442984189723,82.1483870967742,0.030942625337189,0.408064080455385,0.379728353140917,0.0618852319120826,0.991546243479485,0.387618302051211
18,Download,Static,B_2020.01.16_10.43.34.csv,70.4036457107464,68.5923076923077,0.0480048818997562,0.539796491974875,0.308380566801619,0.0960097457197073,0.993446728978517,0.550933268414433
19,Download,Static,B_2020.02.13_13.57.29.csv,44.5989344208809,79.7370517928287,0.038795134863034,0.340532312130355,0.367037114699098,0.0775902512778729,0.991902851539135,0.324562590503449
20,Download,Static,B_2020.02.14_13.21.26.csv,126.385902061856,67.4125,0.121934754204242,0.972091907813557,0.302171052631579,0.243869493285874,0.993600584116365,0.837319245622619
21,Download,Static,B_2020.02.27_18.39.27.csv,76.1466811668373,74.9766454352442,0.0409930137620582,0.584144256114573,0.341982344396022,0.0819860091638367,0.992582819738706,0.576029813291479
